underlying_price,underlying_index,timestamp,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,stats.volume,stats.price_change,stats.low,stats.high,greeks.vega,greeks.theta,greeks.rho,greeks.gamma,greeks.delta,settlement_period,settlement_price
48208.01,BTC-19FEB21,1613068634326,15.9,0.0001,0.222,0.02241181,134.11,0.0095,0.0,BTC-19FEB21-41500-P,47811.26,5292403431,"[[0.009, 0.5]]",95.83,0.009,0.5,0.0385,3.0,"[[0.0385, 3.0]]",172.6,7.5,-47.2222,0.0095,0.018,18.90641,-167.74191,-2.13334,3e-05,-0.19135,week,0.01
48208.01,BTC-19FEB21,1613068634326,18.5,0.0001,0.2005,0.00051356,57.19,0.0105,0.0,BTC-19FEB21-57500-C,47811.26,5292404675,[],0.0,0.0,0.0,0.013,0.5,"[[0.013, 0.5], [0.0955, 3.0]]",114.29,7.0,90.9091,0.0055,0.0105,3.04586,-11.52359,0.1728,1e-05,0.01783,week,0.04
45275.31,BTC-12FEB21,1613068635333,286.0,0.027,0.4265,0.22699399,250.12,0.253,0.0,BTC-12FEB21-35000-C,47811.19,5290076660,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,0.19363,-24.2158,0.53211,0.0,0.99634,week,0.22
50655.31,BTC-24SEP21,1613068635333,572.1,0.4805,0.88,0.68043787,100.0,0.684,0.0,BTC-24SEP21-17000-C,47811.19,5292398619,"[[0.456, 5.8], [0.4, 1.1], [0.3435, 4.8], [0.3265, 1.1], [0.0165, 1.0], [0.01, 1.0]]",0.0,0.456,5.8,0.756,0.9,"[[0.756, 0.9]]",182.25,,,,,32.27083,-7.18542,87.99026,0.0,0.9628,month,0.67
47811.19,index_price,1613068635333,281.6,0.0001,0.2775,0.07773907,100.0,0.0041,0.0,BTC-26FEB21-48000-C,47811.19,5291526617,"[[0.005, 65.9]]",8.51,0.005,65.9,0.0,0.0,[],0.0,25.0,0.0,0.0041,0.0041,37.97036,-130.41388,8.66095,4e-05,0.53193,month,0.01
45275.24,BTC-12FEB21,1613068635341,100.0,0.015,0.4145,0.21490253,126.33,0.2508,0.0,BTC-12FEB21-55000-P,47811.19,5292406679,[],0.0,0.0,0.0,0.218,3.0,"[[0.218, 3.0]]",313.14,100.0,0.0,0.2508,0.2508,0.00331,-0.20883,-0.84025,0.0,-0.99995,week,0.23
48213.48,BTC-19FEB21,1613068635333,14.8,0.0001,0.227,0.02736036,118.97,0.0165,0.0,BTC-19FEB21-43500-P,47811.19,5292404762,"[[0.0145, 0.5]]",88.95,0.0145,0.5,0.0415,3.0,"[[0.0415, 3.0]]",149.12,7.2,-43.1034,0.016,0.029,21.86594,-172.09666,-2.73043,4e-05,-0.24618,week,0.02
47811.19,index_price,1613068635333,764.9,0.028,0.4275,0.22779863,179.27,0.2349,0.0,BTC-26FEB21-40000-C,47811.19,5288240036,[],0.0,0.0,0.0,0.4,0.1,"[[0.4, 0.1]]",440.73,22.2,0.0,0.2349,0.2349,30.28581,-186.47595,9.9746,2e-05,0.75088,month,0.21
47815.81,index_price,1613068636341,0.0,0.0001,0.3905,0.19098977,179.19,,0.0,BTC-26FEB21-43000-C,47815.81,5286583923,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,34.02273,-209.39696,9.3785,2e-05,0.68281,month,0.17
48214.19,BTC-19FEB21,1613068636341,1.8,0.0001,0.352,0.1522136,130.0,0.038,0.0,BTC-19FEB21-42000-C,47815.81,5292406528,[],0.0,0.0,0.0,0.228,3.0,"[[0.228, 3.0]]",291.39,,,,,19.59392,-168.51977,6.43749,3e-05,0.79706,week,0.08
49704.75,BTC-26MAR21,1613068636340,0.9,0.0355,0.435,0.23532179,231.28,0.504,0.0,BTC-26MAR21-44000-P,47815.81,5292405669,"[[0.035, 0.4]]",62.16,0.035,0.4,0.421,29.9,"[[0.421, 29.9]]",400.42,,,,,58.22992,-158.22385,-30.52619,1e-05,-0.29142,month,0.07
47815.81,index_price,1613068636340,56.9,0.0001,0.216,0.01613327,250.0,0.004,0.0,BTC-26FEB21-25000-P,47815.81,5291535122,"[[0.0005, 1.0]]",134.42,0.0005,1.0,0.0,0.0,[],0.0,,,,,11.48695,-98.63337,-1.46614,1e-05,-0.06075,month,0.02
45274.81,BTC-12FEB21,1613068636340,43.0,0.0001,0.2,0.00042527,250.22,0.0005,0.0,BTC-12FEB21-36500-P,47815.81,5292294818,[],0.0,0.0,0.0,0.0015,3.0,"[[0.0015, 3.0]]",305.05,20.5,0.0,0.0005,0.0005,0.5596,-19.25403,-0.00871,1e-05,-0.01217,week,0.0
47816.88,index_price,1613068637347,557.8,0.2095,0.609,0.40920408,250.0,0.3985,0.0,BTC-26FEB21-30000-C,47816.88,5292066301,"[[0.063, 3.1], [0.001, 0.2]]",0.0,0.063,3.1,0.0,0.0,[],0.0,0.1,0.0,0.3985,0.3985,18.91528,-162.41713,9.01024,1e-05,0.88167,month,0.38
49935.22,BTC-25JUN21,1613068637347,329.9,0.0001,0.2105,0.01054886,100.0,0.0055,0.0,BTC-25JUN21-20000-P,47816.88,5292400071,"[[0.0025, 0.1]]",76.08,0.0025,0.1,0.006,0.2,"[[0.006, 0.2], [0.592, 1.0]]",88.8,0.3,-50.0,0.0055,0.011,23.20672,-8.68791,-8.27743,0.0,-0.03476,month,0.01
